Date,Month,Day,Year,SWC,waterYear
1/10/17,1,10,2017,16.2,2017
1/9/17,1,9,2017,14.7,2017
1/8/17,1,8,2017,13.6,2017
1/7/17,1,7,2017,11.8,2017
1/6/17,1,6,2017,11.6,2017
1/5/17,1,5,2017,11.4,2017
1/4/17,1,4,2017,9,2017
1/3/17,1,3,2017,7.2,2017
1/2/17,1,2,2017,6.6,2017
1/1/17,1,1,2017,6.5,2017
12/31/16,12,31,2016,6.4,2017
12/30/16,12,30,2016,6.4,2017
12/29/16,12,29,2016,6.4,2017
12/28/16,12,28,2016,6.4,2017
12/27/16,12,27,2016,6.4,2017
12/26/16,12,26,2016,6.4,2017
12/25/16,12,25,2016,6.4,2017
12/24/16,12,24,2016,6.3,2017
12/23/16,12,23,2016,5.1,2017
12/22/16,12,22,2016,5.1,2017
12/21/16,12,21,2016,5.1,2017
12/20/16,12,20,2016,5,2017
12/19/16,12,19,2016,5.1,2017
12/18/16,12,18,2016,5,2017
12/17/16,12,17,2016,5,2017
12/16/16,12,16,2016,5,2017
12/15/16,12,15,2016,3.7,2017
12/14/16,12,14,2016,3.8,2017
12/13/16,12,13,2016,3.6,2017
12/12/16,12,12,2016,3.7,2017
12/11/16,12,11,2016,3.7,2017
12/10/16,12,10,2016,3.4,2017
12/9/16,12,9,2016,3.3,2017
12/8/16,12,8,2016,3.2,2017
12/7/16,12,7,2016,2.9,2017
12/6/16,12,6,2016,2.9,2017
12/5/16,12,5,2016,2.9,2017
12/4/16,12,4,2016,2.9,2017
12/3/16,12,3,2016,2.9,2017
12/2/16,12,2,2016,2.9,2017
12/1/16,12,1,2016,2.9,2017
11/30/16,11,30,2016,2.9,2017
7/6/16,7,6,2016,0,2016
7/1/16,7,1,2016,0,2016
6/30/16,6,30,2016,0,2016
6/25/16,6,25,2016,0.1,2016
6/20/16,6,20,2016,0.2,2016
6/19/16,6,19,2016,0.2,2016
6/18/16,6,18,2016,0.2,2016
6/17/16,6,17,2016,0.2,2016
6/16/16,6,16,2016,0.2,2016
6/15/16,6,15,2016,0.2,2016
6/14/16,6,14,2016,0.2,2016
6/13/16,6,13,2016,0.2,2016
6/12/16,6,12,2016,0.2,2016
6/11/16,6,11,2016,0.2,2016
6/10/16,6,10,2016,0.3,2016
6/9/16,6,9,2016,0.4,2016
6/8/16,6,8,2016,0.5,2016
6/7/16,6,7,2016,0.7,2016
6/6/16,6,6,2016,0.9,2016
6/5/16,6,5,2016,1.1,2016
6/4/16,6,4,2016,1.3,2016
6/3/16,6,3,2016,1.5,2016
6/2/16,6,2,2016,1.7,2016
6/1/16,6,1,2016,2,2016
