Year,1,2,3,4,5,6,7,8,9,10,11,12
2002,31.0,28.0,31.0,30.0,31.0,30.0,15.0,,,18.0,30.0,31.0
2003,31.0,28.0,31.0,30.0,31.0,30.0,3.0,,,19.0,30.0,31.0
2004,31.0,29.0,31.0,30.0,31.0,30.0,1.0,,,31.0,30.0,31.0
2005,31.0,28.0,31.0,30.0,31.0,30.0,21.0,,,31.0,30.0,31.0
2006,31.0,28.0,31.0,30.0,31.0,30.0,19.0,,,31.0,30.0,31.0
2007,31.0,28.0,31.0,30.0,31.0,17.0,1.0,1.0,6.0,5.0,4.0,31.0
2008,31.0,29.0,31.0,30.0,31.0,9.0,,,,4.0,30.0,31.0
2009,31.0,28.0,31.0,30.0,31.0,11.0,,,,31.0,30.0,31.0
2010,31.0,28.0,31.0,30.0,31.0,30.0,12.0,,,,11.0,31.0
2011,27.0,27.0,31.0,30.0,31.0,28.0,7.0,,,,30.0,31.0
2012,31.0,29.0,31.0,30.0,31.0,14.0,,,,14.0,30.0,31.0
2013,31.0,28.0,31.0,30.0,31.0,12.0,,,,,13.0,31.0
2014,31.0,28.0,31.0,30.0,31.0,8.0,,,,,1.0,31.0
2015,31.0,28.0,31.0,30.0,31.0,1.0,,,,,30.0,31.0
2016,31.0,29.0,31.0,30.0,31.0,13.0,,,,,,
